tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,episodes_per_sentence,I
1,13,48,48,1334,102.61538461538461,27.791666666666668,27.791666666666668,13.395833333333334,13.395833333333334,49.46153846153846,0.2708333333333333,3.628038194444444
2,9,82,82,1230,136.66666666666666,15.0,15.0,7.0,7.0,63.77777777777778,0.10975609756097561,0.7682926829268293
3,9,76,76,2151,239.0,28.30263157894737,28.30263157894737,13.651315789473685,13.651315789473685,115.27777777777777,0.11842105263157894,1.6166031855955678
4,28,114,114,3055,109.10714285714286,26.79824561403509,26.79824561403509,12.899122807017545,12.899122807017545,52.517857142857146,0.24561403508771928,3.1682056017236073
5,22,54,54,1518,69.0,28.11111111111111,28.11111111111111,13.555555555555555,13.555555555555555,33.27272727272727,0.4074074074074074,5.522633744855967
6,14,145,145,3655,261.07142857142856,25.20689655172414,25.20689655172414,12.10344827586207,12.10344827586207,125.35714285714286,0.09655172413793103,1.1686087990487515
7,33,132,132,3431,103.96969696969697,25.992424242424242,25.992424242424242,12.496212121212121,12.496212121212121,49.984848484848484,0.25,3.1240530303030303
8,13,41,41,1506,115.84615384615384,36.73170731707317,36.73170731707317,17.865853658536587,17.865853658536587,56.34615384615385,0.3170731707317073,5.664782867340869
9,33,150,150,3520,106.66666666666667,23.466666666666665,23.466666666666665,11.233333333333333,11.233333333333333,51.06060606060606,0.22,2.4713333333333334
10,10,56,56,1255,125.5,22.410714285714285,22.410714285714285,10.705357142857142,10.705357142857142,59.95,0.17857142857142858,1.9116709183673468
11,8,34,34,651,81.375,19.147058823529413,19.147058823529413,9.073529411764707,9.073529411764707,38.5625,0.23529411764705882,2.134948096885813
12,24,108,108,2656,110.66666666666667,24.59259259259259,24.59259259259259,11.796296296296296,11.796296296296296,53.083333333333336,0.2222222222222222,2.6213991769547325
13,4,14,14,433,108.25,30.928571428571427,30.928571428571427,14.964285714285714,14.964285714285714,52.375,0.2857142857142857,4.275510204081632
14,3,12,12,350,116.66666666666667,29.166666666666668,29.166666666666668,14.083333333333334,14.083333333333334,56.333333333333336,0.25,3.5208333333333335
15,11,58,58,1901,172.8181818181818,32.775862068965516,32.775862068965516,15.887931034482758,15.887931034482758,83.77272727272727,0.1896551724137931,3.0132282996432815
16,12,54,54,1655,137.91666666666666,30.64814814814815,30.64814814814815,14.824074074074074,14.824074074074074,66.70833333333333,0.2222222222222222,3.294238683127572
17,6,8,8,193,32.166666666666664,24.125,24.125,11.5625,11.5625,15.416666666666666,0.75,8.671875
18,24,133,133,3132,130.5,23.548872180451127,23.548872180451127,11.274436090225564,11.274436090225564,62.479166666666664,0.18045112781954886,2.034484708010628
19,7,48,48,1478,211.14285714285714,30.791666666666668,30.791666666666668,14.895833333333334,14.895833333333334,102.14285714285714,0.14583333333333334,2.172309027777778
20,11,26,26,966,87.81818181818181,37.15384615384615,37.15384615384615,18.076923076923077,18.076923076923077,42.72727272727273,0.4230769230769231,7.64792899408284
21,5,12,12,394,78.8,32.833333333333336,32.833333333333336,15.916666666666666,15.916666666666666,38.2,0.4166666666666667,6.631944444444445
22,32,150,150,3937,123.03125,26.246666666666666,26.246666666666666,12.623333333333333,12.623333333333333,59.171875,0.21333333333333335,2.6929777777777777
23,7,100,100,2897,413.85714285714283,28.97,28.97,13.985,13.985,199.78571428571428,0.07,0.9789500000000001
24,7,71,71,1447,206.71428571428572,20.380281690140844,20.380281690140844,9.690140845070422,9.690140845070422,98.28571428571429,0.09859154929577464,0.9553659988097598
25,34,119,119,3544,104.23529411764706,29.781512605042018,29.781512605042018,14.390756302521009,14.390756302521009,50.36764705882353,0.2857142857142857,4.111644657863145
,,,,,,,,,,,,
tale_id,sentence,dep_distance,I
1,Tale 1: Rumpelstiltskin,1.5,0.40625
1,"There was once a miller who was poor, but he had one beautiful daughter.",7.5,2.03125
1,"It happened one day that he came to speak with the king, and, to give himself consequence, he told him that he had a daughter who could spin gold out of straw.",17.5,4.739583333333333
1,"The king said to the miller: ""That is an art that pleases me well; if thy daughter is as clever as you say, bring her to my castle to-morrow, that I may put her to the proof.""",21.5,5.822916666666666
1,"When the girl was brought to him, he led her into a room that was quite full of straw, and gave her a wheel and spindle, and said: ""Now set to work, and if by the early morning thou hast not spun this straw to gold thou shalt die.""",28.0,7.583333333333333
1,"And he shut the door himself, and left her there alone.",6.0,1.625
1,"And so the poor miller's daughter was left there sitting, and could not think what to do for her life: she had no notion how to set to work to spin gold from straw, and her distress grew so great that she began to weep.",24.5,6.635416666666666
1,"Then all at once the door opened, and in came a little man, who said: ""Good evening, miller's daughter; why are you crying?""",15.5,4.197916666666666
1,"""Oh!""",1.5,0.40625
1,"answered the girl, ""I have got to spin gold out of straw, and I don't understand the business.""",11.5,3.114583333333333
1,"Then the little man said: ""What will you give me if I spin it for you?""",9.5,2.5729166666666665
1,"- ""My necklace,"" said the girl.",4.5,1.21875
1,"The little man took the necklace, seated himself before the wheel, and whirr, whirr, whirr!",9.5,2.5729166666666665
1,"three times round and the bobbin was full; then he took up another, and whirr, whirr, whirr!",10.5,2.84375
1,"three times round, and that was full; and so he went on till the morning, when all the straw had been spun, and all the bobbins were full of gold.",17.0,4.604166666666666
1,"At sunrise came the king, and when he saw the gold he was astonished and very much rejoiced, for he was very avaricious.",12.5,3.3854166666666665
1,"He had the miller's daughter taken into another room filled with straw, much bigger than the last, and told her that as she valued her life she must spin it all in one night.",18.5,5.010416666666666
1,"The girl did not know what to do, so she began to cry, and then the door opened, and the little man appeared and said: ""What will you give me if I spin all this straw into gold?""",22.0,5.958333333333333
1,"""The ring from my finger,"" answered the girl.",5.5,1.4895833333333333
1,"So the little man took the ring, and began again to send the wheel whirring round, and by the next morning all the straw was spun into glistening gold.",15.5,4.197916666666666
1,"The king was rejoiced beyond measure at the sight, but as he could never have enough of gold, he had the miller's daughter taken into a still larger room full of straw, and said: ""This, too, must be spun in one night, and if you accomplish it you shall be my wife.""",31.0,8.395833333333332
1,"For he thought: ""Although she is but a miller's daughter, I am not likely to find any one richer in the whole world.""",14.0,3.7916666666666665
1,"As soon as the girl was left alone, the little man appeared for the third time and said: ""What will you give me if I spin the straw for you this time?""",18.0,4.875
1,"- ""I have nothing left to give,"" answered the girl.",6.5,1.7604166666666665
1,"""Then you must promise me the first child you have after you are queen,"" said the little man.",10.5,2.84375
1,"""But who knows whether that will happen?""",4.5,1.21875
1,"thought the girl; but as she did not know what else to do in her necessity, she promised the little man what he desired, upon which he began to spin, until all the straw was gold.",20.0,5.416666666666666
1,"And when in the morning the king came and found all done according to his wish, he caused the wedding to be held at once, and the miller's pretty daughter became a queen.",18.0,4.875
1,"In a year's time she brought a fine child into the world, and thought no more of the little man; but one day he came suddenly into her room, and said: ""Now give me what you promised me.""",22.5,6.09375
1,"The queen was terrified greatly, and offered the little man all the riches of the kingdom if he would only leave the child; but the little man said: ""No, I would rather have something living than all the treasures of the world.""",24.0,6.5
1,"Then the queen began to lament and to weep, so that the little man had pity upon her.",9.5,2.5729166666666665
1,"""I will give you three days,"" said he, ""and if at the end of that time you cannot tell my name, you must give up the child to me.""",18.5,5.010416666666666
1,"Then the queen spent the whole night in thinking over all the names that she had ever heard, and sent a messenger through the land to ask far and wide for all the names that could be found.",19.5,5.28125
1,"And when the little man came next day, (beginning with Caspar, Melchior, Balthazar) she repeated all she knew, and went through the whole list, but after each the little man said: ""That is not my name.""",23.0,6.229166666666666
