tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,11,48,468,2728,227.33333333333334,56.833333333333336,5.829059829059829,0.2564102564102564,2.5,10.0,0.25,0.625,5.737785588752196
2,7,80,406,2440,305.0,30.5,6.009852216748769,0.229064039408867,1.1625,11.625,0.1,0.11625000000000002,5.117378351539223
3,7,75,706,4290,536.25,57.2,6.076487252124646,1.1558073654390935,10.88,102.0,0.10666666666666667,1.1605333333333334,6.062770270270267
4,19,107,1006,6102,305.1,57.02803738317757,6.065606361829026,2.279324055666004,21.429906542056074,114.65,0.18691588785046728,4.005590007860948,6.270678287230012
5,16,50,482,3028,178.11764705882354,60.56,6.282157676348548,0.3983402489626556,3.84,11.294117647058824,0.34,1.3056,5.771951219512193
6,12,144,1188,7300,561.5384615384615,50.69444444444444,6.1447811447811445,0.25,2.0625,22.846153846153847,0.09027777777777778,0.18619791666666666,5.670234374999996
7,28,128,1182,6850,236.20689655172413,53.515625,5.795262267343485,0.3096446700507614,2.859375,12.620689655172415,0.2265625,0.6478271484375,5.974237995824634
8,11,40,480,2992,249.33333333333334,74.8,6.233333333333333,1.4,16.8,56.0,0.3,5.04,7.323691838291378
9,17,135,1160,7032,390.6666666666667,52.08888888888889,6.062068965517241,0.4681034482758621,4.022222222222222,30.166666666666668,0.13333333333333333,0.5362962962962963,6.003337765957447
10,7,54,404,2490,311.25,46.111111111111114,6.163366336633663,0.905940594059406,6.777777777777778,45.75,0.14814814814814814,1.0041152263374484,5.401842610364682
11,6,33,238,1278,182.57142857142858,38.72727272727273,5.369747899159663,1.3907563025210083,10.030303030303031,47.285714285714285,0.21212121212121213,2.1276400367309463,6.849530434782608
12,21,106,920,5294,240.63636363636363,49.943396226415096,5.754347826086956,0.10217391304347827,0.8867924528301887,4.2727272727272725,0.20754716981132076,0.18405126379494482,6.123086155165023
13,2,13,114,854,284.6666666666667,65.6923076923077,7.491228070175438,3.0964912280701755,27.153846153846153,117.66666666666667,0.23076923076923078,6.266272189349112,5.507934782608693
14,1,11,120,690,345.0,62.72727272727273,5.75,1.8833333333333333,20.545454545454547,113.0,0.18181818181818182,3.735537190082645,6.64724919093851
15,9,57,644,3790,379.0,66.49122807017544,5.885093167701863,0.765527950310559,8.649122807017545,49.3,0.17543859649122806,1.5173899661434287,6.199097010372178
16,8,51,518,3292,365.77777777777777,64.54901960784314,6.355212355212355,2.8223938223938223,28.666666666666668,162.44444444444446,0.17647058823529413,5.058823529411765,5.854398848092153
17,4,7,60,370,74.0,52.857142857142854,6.166666666666667,13.1,112.28571428571429,157.2,0.7142857142857143,80.20408163265307,4.22586826347305
18,22,132,1126,6244,271.4782608695652,47.303030303030305,5.5452930728241565,0.8987566607460036,7.666666666666667,44.0,0.17424242424242425,1.335858585858586,5.221590733590734
19,5,47,526,2944,490.6666666666667,62.638297872340424,5.596958174904943,0.344106463878327,3.851063829787234,30.166666666666668,0.1276595744680851,0.49162516976007237,6.458562499999999
20,9,25,352,1920,192.0,76.8,5.454545454545454,1.1107954545454546,15.64,39.1,0.4,6.256,7.14043628013777
21,3,11,128,778,194.5,70.72727272727273,6.078125,17.9609375,209.0,574.75,0.36363636363636365,76.0,5.392514619883038
22,30,149,1314,7860,253.5483870967742,52.75167785234899,5.981735159817352,0.4710806697108067,4.154362416107382,19.967741935483872,0.2080536912751678,0.8643304355659654,5.796927692769273
23,5,99,994,5776,962.6666666666666,58.343434343434346,5.810865191146881,0.35714285714285715,3.585858585858586,59.166666666666664,0.06060606060606061,0.21732476277930826,6.069265905383357
24,5,70,498,2884,480.6666666666667,41.2,5.791164658634538,0.3453815261044177,2.4571428571428573,28.666666666666668,0.08571428571428572,0.2106122448979592,5.806501650165014
25,32,118,1210,7076,214.42424242424244,59.96610169491525,5.847933884297521,0.3421487603305785,3.5084745762711864,12.545454545454545,0.2796610169491525,0.981183567940247,6.018527004909981
,,,,,,,,,,,,,
tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I
1,1,"There was once a miller who was poor, but he had one beautiful daughter.",16,3,106,0.3333333333333333,35.33333333333333
1,1,"It happened one day that he came to speak with the king, and, to give himself consequence, he told him that he had a daughter who could spin gold out of straw.",36,7,596,0.3333333333333333,198.66666666666666
1,1,"The king said to the miller: ""That is an art that pleases me well; if thy daughter is as clever as you say, bring her to my castle to-morrow, that I may put her to the proof.""",44,7,864,0.3333333333333333,288.0
1,2,"When the girl was brought to him, he led her into a room that was quite full of straw, and gave her a wheel and spindle, and said: ""Now set to work, and if by the early morning thou hast not spun this straw to gold thou shalt die.""",57,10,1437,0.25,359.25
1,2,"And he shut the door himself, and left her there alone.",13,2,58,0.25,14.5
1,2,"And so the poor miller's daughter was left there sitting, and could not think what to do for her life: she had no notion how to set to work to spin gold from straw, and her distress grew so great that she began to weep.",50,12,931,0.25,232.75
1,2,"Then all at once the door opened, and in came a little man, who said: ""Good evening, miller's daughter; why are you crying?""",32,5,346,0.25,86.5
1,3,"""Oh!""",4,1,6,0.14285714285714285,0.8571428571428571
1,3,"answered the girl, ""I have got to spin gold out of straw, and I don't understand the business.""",24,6,276,0.14285714285714285,39.42857142857142
1,3,"Then the little man said: ""What will you give me if I spin it for you?""",20,3,130,0.14285714285714285,18.57142857142857
1,3,"- ""My necklace,"" said the girl.",10,1,27,0.14285714285714285,3.8571428571428568
1,3,"The little man took the necklace, seated himself before the wheel, and whirr, whirr, whirr!",20,2,142,0.14285714285714285,20.285714285714285
1,3,"three times round and the bobbin was full; then he took up another, and whirr, whirr, whirr!",22,2,141,0.14285714285714285,20.142857142857142
1,3,"three times round, and that was full; and so he went on till the morning, when all the straw had been spun, and all the bobbins were full of gold.",35,7,531,0.14285714285714285,75.85714285714285
1,4,"At sunrise came the king, and when he saw the gold he was astonished and very much rejoiced, for he was very avaricious.",26,6,279,0.3333333333333333,93.0
1,4,"He had the miller's daughter taken into another room filled with straw, much bigger than the last, and told her that as she valued her life she must spin it all in one night.",38,6,667,0.3333333333333333,222.33333333333331
1,4,"The girl did not know what to do, so she began to cry, and then the door opened, and the little man appeared and said: ""What will you give me if I spin all this straw into gold?""",45,10,906,0.3333333333333333,302.0
1,5,"""The ring from my finger,"" answered the girl.",12,1,42,0.1,4.2
1,5,"So the little man took the ring, and began again to send the wheel whirring round, and by the next morning all the straw was spun into glistening gold.",32,7,388,0.1,38.800000000000004
1,5,"The king was rejoiced beyond measure at the sight, but as he could never have enough of gold, he had the miller's daughter taken into a still larger room full of straw, and said: ""This, too, must be spun in one night, and if you accomplish it you shall be my wife.""",63,10,1833,0.1,183.3
1,5,"For he thought: ""Although she is but a miller's daughter, I am not likely to find any one richer in the whole world.""",29,4,354,0.1,35.4
1,5,"As soon as the girl was left alone, the little man appeared for the third time and said: ""What will you give me if I spin the straw for you this time?""",37,6,511,0.1,51.1
1,5,"- ""I have nothing left to give,"" answered the girl.",14,4,61,0.1,6.1000000000000005
1,5,"""Then you must promise me the first child you have after you are queen,"" said the little man.",22,4,163,0.1,16.3
1,5,"""But who knows whether that will happen?""",10,2,27,0.1,2.7
1,5,"thought the girl; but as she did not know what else to do in her necessity, she promised the little man what he desired, upon which he began to spin, until all the straw was gold.",41,9,820,0.1,82.0
1,5,"And when in the morning the king came and found all done according to his wish, he caused the wedding to be held at once, and the miller's pretty daughter became a queen.",37,8,463,0.1,46.300000000000004
1,6,"In a year's time she brought a fine child into the world, and thought no more of the little man; but one day he came suddenly into her room, and said: ""Now give me what you promised me.""",46,6,801,0.25,200.25
1,6,"The queen was terrified greatly, and offered the little man all the riches of the kingdom if he would only leave the child; but the little man said: ""No, I would rather have something living than all the treasures of the world.""",49,7,1084,0.25,271.0
1,6,"Then the queen began to lament and to weep, so that the little man had pity upon her.",20,4,142,0.25,35.5
1,6,"""I will give you three days,"" said he, ""and if at the end of that time you cannot tell my name, you must give up the child to me.""",38,4,601,0.25,150.25
1,7,"Then the queen spent the whole night in thinking over all the names that she had ever heard, and sent a messenger through the land to ask far and wide for all the names that could be found.",40,7,672,0.25,168.0
