tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I
1,2,23,146,952,317.3333333333333,41.391304347826086,6.52054794520548,1.8767123287671232,11.91304347826087,91.33333333333331,0.1304347826086956,1.553875236294896,9.13653846153846,-0.8219947825040589,16.63728409767719,,,
2,6,37,243,1838,262.57142857142856,49.67567567567568,7.563786008230453,1.3786008230452675,9.054054054054054,47.85714285714285,0.1891891891891892,1.712929145361578,9.164921465968582,-0.47913532603884085,21.079820561302043,,,
3,2,34,225,1476,492.0,43.411764705882355,6.56,2.2711111111111117,15.029411764705882,170.33333333333334,0.088235294117647,1.3261245674740485,9.10455813953488,-0.8201252101742832,17.32392156862745,,,
4,1,57,360,2530,1265.0,44.3859649122807,7.027777777777778,0.6111111111111112,3.8596491228070176,110.0,0.0350877192982456,0.1354262850107725,8.324279398762155,inf,17.471247563352826,,,
5,4,80,489,3458,691.6,43.225,7.071574642126789,0.4723926380368098,2.8875,46.2,0.0625,0.18046875,7.934066570188136,-0.5486020824688912,18.098858214042263,,,
6,5,47,317,2190,365.0,46.59574468085106,6.908517350157728,3.154574132492113,21.27659574468085,166.66666666666666,0.1276595744680851,2.7161611588954275,8.916725388601037,-0.5123361672149503,19.50142067700293,,,
7,5,55,347,2294,382.3333333333333,41.70909090909091,6.610951008645533,2.7146974063400577,17.12727272727273,157.0,0.109090909090909,1.868429752066116,8.707186147186142,-0.5195838369312425,17.77334730591215,,,
8,9,124,892,6214,621.4,50.11290322580645,6.966367713004484,0.3206278026905829,2.306451612903226,28.6,0.0806451612903225,0.1860041623309053,8.514591291061876,-0.44888124381959343,22.026423646270313,,,
9,12,209,1165,7792,599.3846153846154,37.282296650717704,6.688412017167382,0.111587982832618,0.6220095693779905,10.0,0.062200956937799,0.0386895904397793,7.39042647994907,-0.4412749520769352,18.65690288929503,,,
10,1,60,495,3832,1916.0,63.86666666666667,7.7414141414141415,1.1292929292929292,9.316666666666666,279.5,0.0333333333333333,0.3105555555555555,7.115029585798816,inf,24.202693602693603,,,
11,8,67,461,3356,372.8888888888889,50.08955223880597,7.279826464208243,0.6203904555314533,4.268656716417911,31.77777777777778,0.1343283582089552,0.5734016484740477,8.62848066298342,-0.4541497929595943,21.78979290100474,,,
12,10,83,550,3916,356.0,47.18072289156626,7.12,0.4,2.6506024096385543,20.0,0.1325301204819277,0.3512846566990855,9.224925462134763,-0.44062205766901236,21.433574297188756,,,
,,,,,,,,,,,,,,,,,,
tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I,,,,,,,,,,,
1,1,In un villaggio abitava una povera vecchia che aveva raccolto un piatto di fagioli e voleva cuocerli.,18,3,153,0.07692307692307693,11.76923076923077,,,,,,,inf,4.282051282051282,,,
1,1,"Preparo dunque il fuoco nel camino, e perché ardesse in fretta l'accese con una manciata di paglia.",19,4,171,0.07692307692307693,13.153846153846155,,,,,,,inf,4.743589743589744,,,
1,1,"Mentre versava i fagioli nella pentola, gliene sfuggi inavvertitamente uno, che cadde a terra accanto a una pagliuzza; e subito un pezzo di carbone ardente salto anch'esso dal focolare accanto a loro.",36,7,534,0.07692307692307693,41.07692307692308,,,,,,,inf,14.051282051282053,,,
1,1,"Allora la pagliuzza disse: ""Cari amici, donde venite?""",13,3,51,0.07692307692307693,3.9230769230769234,,,,,,,inf,1.6666666666666667,,,
1,1,"Rispose il carbone: ""Per buona sorte sono fuggito dal fuoco, e se non ci fossi riuscito a viva forza, era morte sicura:sarei stato incenerito.""",32,8,466,0.07692307692307693,35.84615384615385,,,,,,,inf,12.307692307692308,,,
1,1,"Disse il fagiolo: ""Anch'io l'ho scampata, ma se la vecchia mi avesse messo in pentola, sarei stato ridotto in pappa senza pietà, come i miei compagni.",32,8,388,0.07692307692307693,29.846153846153847,,,,,,,inf,10.307692307692308,,,
1,1,"E a me forse sarebbe toccato miglior destino?""",10,2,45,0.07692307692307693,3.4615384615384617,,,,,,,inf,1.5128205128205128,,,
1,1,Disse la pagliuzza.,4,1,6,0.07692307692307693,0.46153846153846156,,,,,,,inf,0.5128205128205128,,,
1,1,"""Tutte le mie sorelle distrusse la vecchia nel fuoco e nel fumo; sessanta in una volta ne ha ghermite e uccise.",24,4,144,0.07692307692307693,11.076923076923077,,,,,,,inf,4.051282051282051,,,
1,1,"Per fortuna le scivolai tra le dita.""",9,2,36,0.07692307692307693,2.769230769230769,,,,,,,inf,1.282051282051282,,,
1,1,"- ""Ma ora che faremo?""",8,4,16,0.07692307692307693,1.2307692307692308,,,,,,,inf,0.7692307692307692,,,
1,1,disse il carbone.,4,1,6,0.07692307692307693,0.46153846153846156,,,,,,,inf,0.5128205128205128,,,
1,1,"""Poiché per nostra ventura siamo siamo fuggiti alla morte, penso che dobbiamo aiutarci da buoni compagni e, perché non ci colga una nuova disgrazia, emigrare insieme in paese straniero.""",35,9,595,0.07692307692307693,45.769230769230774,,,,,,,inf,15.615384615384619,,,
1,2,La proposta piacque agli altri due e s'incamminarono.,9,2,36,0.1,3.6,,,,,,,-0.6551687908499021,1.9000000000000001,,,
1,2,"Ma ben presto giunsero a un piccolo ruscello e, siccome non c'era ponte ne passerella, non sapevano come attraversarlo.",22,6,177,0.1,17.7,,,,,,,-0.4967193777913646,6.6000000000000005,,,
1,2,"La pagliuzza ebbe una buon'idea e disse: ""Mi stenderò di traverso: cosi potrete passare come su un ponte.""",23,5,168,0.1,16.8,,,,,,,-0.4990765579174223,6.300000000000001,,,
1,2,E si stese da una riva all'altra.,8,2,22,0.1,2.2,,,,,,,-0.8337368522088902,1.4333333333333336,,,
1,2,"Il carbone, focoso di natura, sgambetto arditamente sul ponte di nuova costruzione; ma quando fu a mezza strada e senti l'acqua rumoreggiare di sotto, ebbe paura:si fermo e non osava più andare avanti.",40,10,412,0.1,41.2,,,,,,,-0.4677637222965849,14.433333333333335,,,
